country,vector
DJI,   
DMA, 
DNK,  My life is great  Balance and happiness in life  that i am happy I am happy and i can get the job i want - and feel safe I am happy and I feel safe.        Work-Life Balance Health Life Satisfaction             A better life is a life without war. Its a life where youre able to live en peace with your family             Life in Denmark is great as it isvery few changes have to be done to make it perfect in my opinion                        it means that i can truly experience and develop a life that grands me and my fellows happines   Living with the ones I love in a safe and sustainable environment with access to education and health.     overall happiness better weather     I want to see how numbers move over the years.....possible?        mindre aktieskat og ingen jantelov og bedre klima.     Being able to do the things I like (seeing my family and friends having time for hobbies) and not having a life that is only about working.       Being happy       Health money housing       health education jobs income safety  Ice Cream Environmnent for my kids        Happiness a meaningful existence. Peace and stability.        Housing food money and last but not least love.     no worries           basic safety social security and trust in the system that allows me to focus on family fun and hygge  Social mobility   Love good Heath safety                social Life Satisfaction  Time to spend with your family and friends. Green environment and healty food.        Safety     Everything   freedom from goverment intereference   To evolve      A perfect life for me is a safe helthy life with a lot of learning                  clean easy living with time for other stuff than working              It means that i have better opportunities to see the standard of living in other countries.                im 13 years old    I love burger  Happyness and freedom       being able to pay my bills and still have enough money to have fun with family and friends.      The right balance between work and life freedom opportunity tranquilitá   Work-Life balance job security physical safety gender equality Freedom of choice.  being social with people you like. Interesting work and freetime.    Equal opportunities for all.                Health and family   safety     school    school          awseomesauce economically stable the ability to relax and a good social life with both friends and family  Personale happiness                Sustainability democracy equality           Very good    happyness employment education health and enviroment jhbjhb    Life Satisfaction  Equality in Health education happiness and income.  Not having to care about what happens if say i get sick my family does i lose my job etc.         Being happy       #pwclife     Richbetter Education  hallo its me  Reaching your full potential as a human being                 Eco         Focus on what is important   Clean wholesome varied inclusive inspirational dynamic safe surroundings.                                                     A life where dreams and aspirations can be realised with respect to family friends community and society. A life where the people unable t     Love for your children happiness health   A life where we take care of each other and our environment.                                    Time with my family                                                                               Fulfilment intellectually & socially     Happiness       :-)   Enjoying life and having fun with a balanced nature of Work as well as enjoying life                                                                                                                       Being healthy wealthy having a good social life                                                                                                 A lot                         Higher quality of life for everyone                           fulfilled in several countries ..... but the dream of going to Australia seems a good one. fulfilled in several countries ..... but the dream of going to Australia seems a good one. fulfilled in several countries ..... but the dream of going to Australia seems a good one. fulfilled in several countries ..... but the dream of going to Australia seems a good one. fulfilled in several countries ..... but the dream of going to Australia seems a good one.                                                                                                                                                            
DOM,Having time to do the things I want to do. Being able to thrive.      Tener tiempo para disfrutar de la naturaleza compartir con la familia gozar de salud plena y paz espiritual     Oportunidad de trabajar educación y seguridad social     ESTAR EN SALUD Y TENER SEGURIDAD  una buena vida significa para mi es que no tengo que preocuparme por un trabajo comida o un hogar para vivir  Significa todo. Vivienda empleo educación salud seguridadsatisfacción.   Safety  Security earn more work less health education excellent income Good food    Una vida mejor donde la salud seguridad acceso a una vida digna con ingresos acordes estén equilibrados more love less work A healthy Environmentally conscious life surrounded with the ones I love.  Safety educated well-mannered and considerate people rich community life with good housing and a great work-life balance  Take my potential to the limits. Be sorprised about what I can do and have fun.            smoke weed?  Live for Christ & be become more similar to Him.   Más salud empleo edu seguridad comunidad y compromiso cívico    Tener lo necesario para cubrir los gastos de mi y de mi familia tener tiempo para compartir con mis hijosque todos gocemos de salud .  Not worrying about needing more and more money just to cover the basic needs of my family.  More Happiness          Buena educacion.nivel alto de segridad y buen empleo.         Menos corrupción política en la Rep. Dom. para fortalecer económicamente las instituciones publicas             Safety Place and safety enviroment       choices a context full of options and opportunities...                    
DZA,  vivre avec Emma Lounis               Vivre alaise et se faire une situation rapidement            algeria  test test test test test test test test  test test test test test Une vie dans un pays stable (sécurité) économiquement ou il fait bon vivre efficacité de la santé.  bla bla QUE HAYGA MAS DINERITO   avoir un travail stable un logement et une bonne santé     un meilleur salaire   une satisfaction  spiritualité  santé et paix  Having the potential and the means to achieve great things while still enjoying life.   islam        Algeria rules the world :) test     avoir suffisamment dargent pour satisfaire tes besoins   trouver lamour   ll felling free to go where ever I want at any time I want  iam cool bla bla       test Un logement décent le droit à lenfancela santé pour tous un système éducatif performant incluant dés le jeune age âge limpact de la p     la paix                                             work-life balance   SE PUEDE HACER MAS             #test     trees honey money bees         avoir des relations amicales       DIEU est toujour a tes cotes                       une vie dans une societe egalitaire ecologique democratique transparante et social                  
ECU,   Una vida mejor se resume en tres aspectos salud familia y trabajo  Proclamation of a Socialism state in his fianl from that is the Socilism democraty Proclamation of a Socialism state in his fianl from that is the Socilism democraty Despertarme y sonreír porque tengo que comer estoy sana y mi familia y yo podemos movernos segura por la ciudad     Be happy in the place where I life. :)   Significa: seguridad salud amor ingresos    Salud y dinero    crecimiento personal y tus relaciones con todos los seres de este mundo  House enviroment oportunities and safety  Better life to me is equality been able to feel peace and to be treated with respect Nature community. And education             Work-Life Balance    trabajo seguro     Equilibrio ente familia trabajo profesión y bienestar con Dios.  Tener empleo seguro con buen sueldo Un lugar donde vivir un empleo estable y tiempo para disfrutar el mundo. salud empleo comida vivienda y educacion Salud Ingresos Educación  Tener una vida plena conjuntamente con la seguridad trabajo salud y vivienda con mi familia      buena educación y economía paz ayuda al prójimo. Significa un Buen vivir en un entorno social que tiene acceso a educación a salud.   familia                time to live...          Felicidad   Felicidad. Buen Vivir  complete services ans good environment conditions. excellent education and health Aprender a ser un buen ser humano... educarse trabajar tener una familia velar por su seguridad... y colaborar con mi comunidad     Que mis hijos tengan la libertad y la oportunidad de desarrrollar todas sus capacidades a plenitud sin restricciones económicas sociales y Empleo salud satisfacción de elegir el lugar donde me ocupo seguridad y sobre todo que el balance entre mantener una vida social y labor         Hijos felices con buena educación padres con trabajo y vida familiar en un ambiente de libertad salud familia  balance vida  trabajo comunidad satisfacion  paz       salud techo educacion y recursos materiales education housing food community FYTR       Oportunities                         Good Living is Sumak Kawsay    
EGY, jobs No stress Being happy and safe. Also be able to provide for my family and treated fairly    justice Freedom to profit from doing the things I love. Safety. Dependable healthcare system.        :)    be satisfied and grateful    Being and feeling well       more chocolate more sweets and more whores live healthy and happy  Happy Children with safe future         Everything I would have economic secure    Money free time and Friends           peaceful happiness safety health education Health Income Housing Safety        Health environment high healthcare high education and work-life balance  To have a good job with blessed from god       france  #pwclife   healthy and clean life with a good salary  Safety environment culture and community  I am blonde:(     life satisfaction and work life balance   Balance between safetyworkfun.good infrastructure & services..& also justice To have a choice   Being balance peace Self-realization enjoy being a life                       security and safety anonymity versatility lots of options and variations  no racism and not bias or  threats     better homes jobs safe          good and clean place to live \n   money health education comunity safety and housing\n     Satisfaction and self actualization                                
ERI,better life mean to  me: To have a better educationgood health and to be safe everywhere.   Life is worth so much. Life is more than spending Life is about passion freedom and love   
ESP,   Have a good remunerated job the you could combine with your free time and family   creo que la educación es la base para que haya todo lo demás fácilmente y más económicamente     Comer y cagar bien Freedom happiness reaching my full potential  serenité    It is important to have high points in all them    Ponderar todos los valores    Tener conciliación familiar   un salario mas que digno     Educación salud naturaleza comunidad respeto   significa socialismo   CALIDAD DE VIDA   SALUDTRABAJO ESTABLE MEDIO AMBIETEMENOS PULOCIONTENER ENGRESOS SEGURIDAD   SALUD AYUDADA POR UNA DIETA MEDITERRÁNEAESTABILIDAD EMOCIONAL Y ECONÓMICA  BUENA EDUCACIÓN TRABAJO ESTABLE VIVIENDA Y SEGURIDAD   salud calidad de vida trabajo vivienda  Tener mi trabajo tener un hogar y estabilidad dentro del hogar. SOY MONICA ESPERO UNA CALIDAD DE VIDA MEJOR ENGLOBA TODO        tener trabajo buena salud familia feliz rentabilidad de los estudios adecuadamente Work-life balance       que a nadie le falte pan ni trabajo     Work-life balance    Estabilidad en la relación Ingresos-Vivienda-Seguridad       Seguridad buen balance vida-trabajo satisfacción y vivienda   More employment and better education     hxfdhfxhfgxhjn                            quand lAtlético gagnera la ligue des champions            Integration       Jobs Housing Environment and Health   Estar hoy mejor que ayer y peor que mañana.  Tener mastico para el ocio y la familia  Felicidad.   Satisfaction and happiness     Satisfacción empleo y salud Una vida que me permita a mí y mis vecinos tener lo suficiente para escoger la clase de vida que queremos vivir.         Equilibrio en todas las áreas  Tranquilidad satisfaccion       A ligera de of opportunities    Disfrutar con lo que tienes   Good jobs reasonable salaries sound social security honest governments housing      Estar más con los míos ver que son felices y trabajar en lo que me guta Poder disfrutar de la vida y conseguir lo que me proponga.  Familia work balance      Healthy life  more coherent more time for myself full heart Libertad Felicidad Seguridad trabajar para vivir no vivir para trabajar y disfrutar del medio ambiente    Que el mundo sea más equitativo Salud plena afecto pleno satisfacción vida intelectual-empleo poder adquisitivo acorde al entorno social.   Felicidad          Ser feliz   Living without fear of crime good housing and a positive work-life balance. Mayor seguridad sanidad pública y vida en comunidad.  Que opinan otras personas para mejorar la vida y si comparten mi opinion               Poder disfrutar de una vida tranquila pero también de nuevas experiencias.  alta educación y empleo         Tener una vida saludable en un entorno saludable  Being better daily      trabajo de calidad     Más dinerocariñoy amor       Poder progresar      Para mí una vida mejor es la que mirando lo que te rodea te hace sentir satisfecho y orgulloso  trabajo de calidad   happyness health well-being    ser como el resto de europa     Felicidad Satisfacción pues mejorar la educación y no ser el hazme reir de europa      More social equality          Estar tranquila en un sitio seguro y libre. Sin preocupaciones ni por el presente ni por el futuro Tiempo libre deporte mar aire libre lujo      Harmony solidarity dignitycultural diversity  education health transparency  tolerance compassion...        Seguridad económica para el futuro.    Calidad de vida  Be happy independent enjoy what I do in a challenging job environment. Be respected. Be loved.  Libertad  trabajo y separación de poderes             Oportunidades para desarrollar todas mis capacidades intelectuales y emocionales.  Oportunidades para desarrollar todas mis capacidades intelectuales y emocionales.        liberta   tener satisfacción en todos los aspectos   High self steem                    Be happy in a society with justice           Gozar la familia el trabajo la naturaleza con salud y seguridad.  Humanos animales y naturalezacomo uno solo.    kjokpklok    Significa lo que me gustaría que fuera la sociedad en la que vivo   General around you satisfaction. Most of the people can have a normal life and feel they advance....        Una vida mejor para mi sería un balance equitativo entre todos los valores del índice.     Tener tiempo para mi familia y que los políticos den ejemplo.             Un sistema educativo que ofrezca perspectivas de empleo en un futuro.             confianza  Tener vivienda e ingresos   Safety happiness health        All    vivir en comunión con la naturaleza la estamos destrozando y se lo esta cobrando                Para mí una vida mejor ese basa en tener buenos servicios en sanidad y en educación. Tener un puesto de trabajo digno...   Mejor educación seguridad júridica satisfacción personal junto con un marco institucional competente.         mejora en la calidad de vida       Salud Educación seguridad ingresos y empleo      tener salud amigos familia dinero   putas y alkol mayor empleo y salario minimo     Time to smell the roses...    happy life        Educación seguridad medio ambiente   Empleo e Ingresos salud dinero y amistad  Más igualdad enjoy life with my family health and in a place nice to live          Live a happy life without punishing the environment the animals and the rest of the people in the world.  Poder desarrollar una vida plena          Felicidad quereme y valorar la vida.          Personal and collective empowerment  Felicidad estabilidad bienestar cohesión social      Educación Justicia Igualdad de Oportunidades y Desarrollo sostenible Participación activa en todos los ámbitos  como pueden ser los sociales políticos medio ambientales etc   felicidad y sallud    TRANQUILIDAD Y CIVISMO  Salud   Salud y felicidad       Salud seguridad Calidad de Vida        Opportunities choices intersubjectivity.   security  Friends love good education cultural life good job good income               Esta muy bien en lo personal laboral y profesional.   VIVIR CON LA TRANQUILIDAD DE SABER QUE TODO VA BIEN.                       Best education for my children and more opportunities for them in the future   Vivir con tranquilidad económica por tener trabajo y salud  Happiness and sustainability             Felicidad Satisfacción Plenitud    Más solidaridad más capacidad de luchar en igualdad   Tener un trabajo fijo con ingresos medios en un país que asegure la sanidad y la educación para todos los ciudadanos.   Live in Spain is poor. I wish go out of here   Ante todo trabajo y amor. Me encanta comer y la naturaleza. job education health housing safety     Satisfación educación trabajo        tranquilidad y felicidad Money        vivir tranquilo y compartir con la familia   Tener unos ingresos estables y poder viajar al menos dos veces al año          Respeto a la persona y al medio ambiente    Vive y deja vivir que eso no lo ha entendido mucha gente.  Equilibrio entre vida familiar y laborar. Educación y sanidad de calidad.            Medio ambiente educación salud y empleo                    Balance vida trabajo ingresos y vivienda      familia vida mejor implica una posibilidad de desarrollarse como persona y como entorno sin dejar nadie atrás            Equilibrio entre trabajo ingresos y tiempo (libertad)   Una buena vivienda y un buen sueldo       No pensar en que significa una vida mejor si no vivirla              Una vida en la que la libertad y el respeto a los demás prime frente a todo          La salud el dinero y el amor.           SALUD TRABAJO VIVIENDA Y AMOR     To live a healthy life educated     Ser feliz                  Vivir en paz y prosperar económicamente        Vivir bien y tranquilo       tener más ratos agradables que desagradables Safety for my family as well as a good education and a flawless health system.                Happiness           A chance to be creative (maybe at work).  Plenty of free time. Family (and friends) around you.           Health a work I want Saludlibertad y amor      The ability to grow as a person  in a healthy environment. Pasar más tiempo con mi familia y no vivir agobiado por el dinero     Health and quality of life Tranquilidad en torno a placeres básicos.  les relations personnelles             tranquilidad bienestar y confianza      Health freedom friends oportunity to be honest no fear...        Educación + Salud+ solidaridad Igualdad de oportunidades y satisfacción personal.          Being able to do what you want and having the tools for that.  Una vida mejor      Creativity and challenges at work Fulfilling activities at home       Hay que vivir cada momento no duramos para toda la vida     Justice and posibilities to realize ones potential while having a balanced life    une vie riche sans avoir de largent   A society working towards a common objective of progression       Tener los recursos personales suficientes que surgen a partir de la educación y la salud  para afrontar todas las demás cuestiones.     Idea about development (social-economic) and happyness Seguridad física jurídica  política y natural.              Una vida en paz en un entorno justo y equitativamente distribuido en cuanto a los recursos disponibles y a la creación de riqueza    Felicidad                     Poder alcanzar las metas para las que uno vale sin estar restringido por causas políticas ni sociales.Que no se dé el nepotismo.  QUE SE CUMPLAN LAS LEYES   Que mi familia sea feliz y tener todos buena salud Poder vivir por mi cuenta     Un entorno con poca desigualdad social Mucho cuidado del entorno natural.       Conciliar vida laboral y familiar Vivir tranquilo acomodado sin problemas económicos y con salud  Seguridad Trabajo Vivienda Tiempo libre (Balance vida-trabajo)     Estar satisfecho con uno mismo.      Tener salud un trabajo digno estable y una familia cohesionada   Poder trabajar tener una familia un hogar poder compartir con la comunidad salir a disfrutar de la naturaleza.  Empleo salud educación y seguridad     Educación cultura salud  trabajo digno acorde con mis sueños. being happy with my loved ones around me.  tiempo para disfrutar con mis seres queridos de una vida tranquila sin dificultades y culturalmente emocionante  To have a good balance in my life and job and to have access to things that really matter: public health good education and culture.               tener trabajo y droga todos los dias. VIVA EL VINO      Be linked   Balance  Felicidad       Dejar de compararar cosas. Mas tiempo para mi misma y lo q me gusta          poder disfrutar moderadamente de mi entorno sin preocuparme del paro que acecha     Ser feliz con mi familia y tener un confortable entorno para satisfacer las necesidades basicas de un ser humano  felicidad   mi cago en tu puta madre :D mierda puta :D que te jodan       Vivir en unas circunstancias que desee        Job environment education civic engagement.        F   Una sociedad avanzada justa libre solidaria y responsable                 No tener miedo   Vivienda empleo relaciones sociales seguridad y salud.   Balance vida trabajo + educación  work-life balance     Good Healt and good enviroment  Tener Un vivir Digno  Sentirme parte de mi comunidad y comprometerme con ella en la construcción de un mundo mejor         Una vivienda amplia y confortable para mi familia un trabajo satisfactorio y salud para toda mi familia             My friends my family and me living healthy and comfortably      everything to me.  Creación de riqueza para una mejor calidad de vida Freedom. That material or social means not impede setting my own path.             Spend time with my family  Mucho ocio salud dinero y no complicaciones. Seguridad satisfacción felicidad respirar naturaleza un hogar...      Party  Health work and love means happiness to me.    Healthy and work     More free time. less economic inequalities                      Que yo y me seres queridos sean felices         A nice education health and safety          To live a healthy satisfying life full of love.      empleo seguridadsaludeducacion               Tener salud suficiente riqueza gente en la que apoyarte y oportunidades para desarrollo físico e intelectual                tranquilidad y seguridad             Ser más feliz sin tener que preocuparme de los temas materiales     Healthy and paceful enviroment. Good work-life balance Good hoseing conditions Poder disfrutar tu tiempo sin preocupaciones   Tener salud y mis necesidades básicas cubiertas para poderme dedicar ayudar a mejorar las de los demás ÊTRE TRÈS HEURESSE     Healthcare social security safety equality.     Tener seguridad en un futuro mejor    Happiness      Educación salud equilibrio emocional cultura         Bienestar y equilibrio tanto en mi vida social como en el trabajo y poder responder ante las necesidades económicas  live with out complication live free Empleo Ingresos Educación Salud Medio Ambiente tranquilidad educación y vivienda       job stability and prospects of a good future for my children Ingresos            Felicidad             Servicios públicos adecuados satisfacción en el trabajo buenas relacines familiares y otear un futuro agradable El ideal a alcanzar         Vivir tranquila y sin estrés comer correctamente y estar cerca d la naturaleza    Seguridad bienestar y oportunidades de empleo              Do it what you like Tener acceso a las herramientas que permitan desarrollar mi vida con el mejor entorno posible en mi comunidad   Estar satisfecho con mi día a día y dejar un mundo mejor a las nuevas generaciones    Ingresos comunidad educación compromiso cívico y salud.   es vivir  es vivir equilibrio en todos los aspectos: educacion trabajo ocio ingresos medio ambiente...  Todo   Democracia libertad derechos felicidad salud y amor.        Más y mejor tiempo para disfrutar con los míos        vivir sin preocupaciones    Disfrutar de la vida aprender tener amigos      felicidad   Más educación más recursos más felicidad.   Todo  una vida donde todo el mundo tenga derecho a una educación  a una sanidad gratuita y un techo donde vivir Poder disfrutar de tu planeta   Vivir en armonia conmigo misma y con mi entorno La oportunidad de evolucionar y hacer evolucionar a otros       A balanced and healthy life  Equilibrio ente todos esos parámetros   Equilibrio      Un trabajo bien renumerado seguridad ciudadana politicas eco-saludable. Muy buen sueldo buen trabajo y mucho compromiso cívico.   A Better Life means to me having the knowledge and the resources to choose between several options of life. Felicidad     educación                     Una vida basada en los valores libertarios de autogestión apoyo mutuo y los ideales del \\\buen vivir\\\. Todo lo opuesto a los valores econo   Un estado de bienestar con conciencia social sin lucro sin corrupción solidario abiertos de mente y corazón. ser mejores seres humanos y       Una vida digna en comunidad y sin explotación ni abusos de ningún tipo (de personas del medio etc.).        Un lugar bello seguro y justo.                                           Prosperidad no sólo para mí sino para toda mi familia.                     estar segura tener salud y dinero para vivir cómodamente salir a tomar algo a los bares el sol y la playa                 igualdad de oportunidades para todos/as       Poder ayudar al progreso de la sociedad y la humanidad con mi trabajo mientras me realizar como persona.                                               Have a family and friends to have a life with and get enough salary to be able to enjoy from time to time but without being greedy for mone     Being able to buy my own home. Erradicar la pobreza luchar contra las enfermedades proteger el Medio Ambiente cuidar la Educación por ser un legado vivo para las genera       Ser feliz                   Vivir a gusto conmigo misma               Better life means to me \\\Carpe Diem\\\. Learn from our past and apply the knowledge.         Posibilidades de un futuro mejor                                                 Equilibrio     Balance vida-trabajo           To be where I want to be.             tener trabajo y salud   Estabilidad poder emprender los proyectos de vida que deseo para compartir la felicidad con mi pareja y los que me rodean.       ganar lo suficiente para vivir disfrutar de buenos momentos con mi pareja y amigos y viajar al menos una vez por año.                     ser libre tener paz y salud               ser feliz con tu familia y amigos                     que haya trabajo y que las jornadas laborales no se hagan tan largas que haya un termino intermedio trabajo y vida personal                       Tener salud trabajo unos horarios flexibles        poder disfrutar de mis hijos y pensar que el dinero no lo es todo                     Más tiempo para el ocio         Better life means to be satisfied with your life and your environment being able to enjoy every little moment.               No vivir bajo una nube. No convivir con sociedades estresadas.           esta seguro tener una sanidad y educacion de alta calidad estar satisfecho  tener una casa y ingresos en condiciones y dicnos  tener un equi               Ser feliz en todo momento   Better life means to be full of hope because our children are full of happiness.                                incomes health education life satisfaction                       Un buen balance vida-trabajo.     Satisfacción con el trabajo buena educación y sociedad madura y justa con administradores políticos serios y competentes             Economía para vivir bien y tiempo para estar en familia                 health           tener un trabajo motivador que me permita crecer y aprender algo estimulante dinamico un trabajo que me deje tiempo suficiente para pode                 The best education good life satisfaction safety and work-life balance.                Ser feliz y disfrutar de mi tiempo Significa tener un buen balance entre ingresos trabajo salud y satisfacción     Vivir sin prohibiciones en europa hay una horrible tendencia prohibicionista e intolerante . Se nos pide que seamos todos iguales y eso es      Less discrimination and inquality. More ontat with nature less pollution and less capitalism             Felicidad y vida\n                                 Es el cóctel perfecto entre salud vida social y estabilidad económica                                               Salud                Libertad para decidir tiempo para ser feliz y pasión en mi vida cotidiana.            Opportunities make a difference enjoy life   A place where individuals are more important than big organizations and big business.                               Que el trabajo sea una parte de mi vida y no el foco principal. enjoy Un sistema sanitario universal y gratuitoque el precio que pagamos por la vivienda sea menos del 20% de los ingresoseducación sin que medi justicia paz y libertad salud familia trabajo tiempo para disfrutar con mi gente                             Buen clima comida vida saludable     Solucionar los problemas de las personas. Permitirles Desarrollar sus inquietudes. Asegurarles la mejor calidad sanitaria y educativa. Que a                 Tiempo libre salud buen clima empleo para todos dinero suficiente para vivir dignamente vivienda digna buenos colegios para mis hijos                                         salud dinero y amor                   Seguridad en el empleo buena calidad ambiental un sistema sanitario bueno y precios asequibles de los productos de consumo habitual así co                       Conseguir un empleo en el que me sienta útil Conseguir un empleo en el que me sienta útil     Get money get cash                 It means living in a country with nice weather conditions having a job and a salary that allows me to cover my basic needs and still counti   Felicidad y disfrute    estabilidad general       Autorrealización     Ser feliz y ver feliz a los que están cerca pero también a cualquier persona allá dónde esté                 More work and income Un trabajo que me gusta y una vida que pueda disfrutar con la gente que quiero. Tener un buen sueldo para viajar de vez en cuando. Pesa más                      mucho 3                                     equilibrio tolerante Igualdad de oportunidades         Es tener Salud Trabajo y Bienestar            Para mi es muy importante el desarrollo personal y social de una persona. Más allá de los indiacdores de ingreso o de riqueza.\n\n\n\n\n\n\n\n\n\n\n\n\n\n       Right now Im just interested on my proffesional adventure. I want to travel and learn how to generate business ideas.                         Cohesión y fraternidad entre los habitantes de un mismo mundo en busca de la felicidad POR Y PARA TODOS.         el acceso a la educacion para todos de forma igualitaria mejorar el medio ambientecompromiso civico mayor.                       Tener una vivienda grande Una Vida mejor significa para mi tener un Buen sistema de Salud igualitario para todos  Libertad  Solidaridad  Seguridad  Vivienda Princ         Tener un buena salud y disponer de un hogar digno para vivir.                           Equilibrio entre trabajo y familia en un entorno cívico seguro con alto nivel educativo y medioambiental.                         Equilibrada. Con amplias relaciones sociales. Tranquila.   Posibilidades de desarrollo personal y comunitario dignas   Trabajo familia y vida social.   Salud  Bienestar Respeto y Educacion Estar en armonia conmigo y mi alrededor               Todo. el equilibrio real es la evolucion de educacion empleo ingresos  vivienda i salud trabajar vivir disfrutar                               Ser feliz amar lo que se tiene         income self-esteem happiness freedom.     Bienestar Libertad de pensamiento y de expresión solidaridad fraternidad educacion en el pensamiento critico  salud/sanidad para todos y respeto p         Disfrutar y compartir con los que te rodean manteniendo para las generaciones siguientes un planeta y una etica en la forma de vivir                   trabajo con un sueldo justo     AMOR PAZ Y FRATERNIDAD\n     peace relax enjoy                   Es una vida feliz abierta equitativa social justa de paz y prosperidad en todos los ámbitos y en todos los países.                           Estar bien con uno mismo   Vivir sin estar continuamente pendiente de las noticias.       Life Satisfaction\nSafety                 tener posibilidad de acceder a una vivienda a una educación pública que no este recortadisima y a una sanidad de calidad además de unos poli               Compromiso con la libertad ante cualquier circunstancia. Trabajar pero también disponer de tiempo para dedicar a actividades de ocio familia y amigos               Compensar ingresos con calidad de vida educación saludo y seguridad.       Disponer de tiempo para disfrutar de la familia y amigos. Compartir tiempo con los que quieres.                   Superarnos cada dia en la satisfaccion y la comunidad el balace vida-trabajo y la seguridad.      Sentirse realizado y concienciado con el mundo y las personas.       No guerras\n                       Libertad para poder elegir mi vida con los recursos necesarios para ello (dinero formacion informacion...)           POSIBILIDAD DE DESARROLLO PERSONAL.\n           hijos               Tener seguridad personal y jurídica. Ambiente saludable. Facilidad para crear empresas         l     Environment salud educación bienestar social seguridad y trabajo To grow personally and professionally in a healthy environment in a homogeneous community and with good future perspectives.           Felicidad e igualdad   Vivir sin preocupaciones económicas.                               Community and life satisfaction and work-life balance Empleo comportamiento cívico educación                 Ser feliz independientemente de los ingresos en donde entra en juego la educación y donde el estado debe intentar crear un tejido social y     Una buena y eficiente sanidad y una educación de categoría.   poder disfrutar de la familia y tener un trabajo remunerado que permita vivir en condiciones normales                                                               Una vida mejor es aquella en la que:\n- he podido satisfacer mis necesidades más básicas sin por ello sacrificar mi estado de salud ya sea f                           More time with my family and for myself             live in a sustainable society non competitive but collaborative community which decide for the good of world               +Educación \n+Medio ambiente                     colaborar respetar crear entender compartir.             Trabajar lo justo para poder mantener a tu familia y tener tiempo para disfrutar de la vida.                         N           Menos desigualdades menos corrupción trabajo más digno y más tiempo para estar con mi familia     Desarrollo intelectual educación y vida sana. Life happy         estabilidad tranquilidad progreso               trabajo joven                           Política salud seguridad                                 Disponer de servicios sanitarios y educativos dignos y poder disfrutar plenamente de la familia         Ser feliz y nada más.             Para mi una vida mejor es progresar sin ir en contra del medioambiente ni de mis comunes: los humanos ya estén cerca como lejanos en la dist       Health Job Education                         work life balance income education and health             Life satisfaction housing qualiity of my social support network and community   Tener cubiertas por el Estado las necesidades mínimas: educación de calidad sanidad de calidad trabajo y salario dignos         Trabajo libertad educación y servicios sociales       It means everybody has basic necessities covered and possibilitiy to develop and expres ideas for a better community building.           To live with dignity in any way and feel that you and your family are save with respect to others and nature.                                              vivir en un sistema participativo y transparente donde haya oportunidades y una buena sanidad y educación pública donde se participe de la                       Personal time and money                                   cool and content people security healthy nature open mindedness and educated population.     trabajar para vivir     Equilibrio entre trabajo educación sanidad y ocio.       tener vivienda buena educación respeto al medio ambiente trabajo  buena sanidad                                   Poder vivir con un nivel de vida aceptable sin tener que dedicar todo el tiempo a trabajar y hacerlo en un entorno saludable sin excesiva                                                    Have everything I need like food health and a house and have the oportunity to have the things that I would like to have like a higher sal             Salud tiempo para compartir con familia y amigos y esperanza en el futuro     #OECDctp #OECDEXDITN       #OECDedu                               A life where my house is not a packed tin of sardines and I can have room enough to keep my bike. A life where we are paid for what we work         environment         To fulfil your goals and expectations without hassles nor problems.\n\nBetter life is the one that handles all variables algorithms and equat           health and happiness   Time and opportunities to enjoy life with people                       A balanced lifestyle with minimal necesities covered. Happy life index.     A life where I dont mind the incomes and My country has a powerful public system.                           In current economy the main topic is having a job which offers you a good standard of living. If you have a good income other topics become In current economy the main topic is having a job which offers you a good standard of living. If you have a good income other topics become           Condiciones laborales justas y protección para los más débiles                 a creative life that promotes my capacities and competences and provides service to others     Health freedom basic needs  family love.                   Good politics work life balace income and life satisfaction     happiness           <3                 Progress                             la sante                                           Happy life                   work-life balance             i miss some index related with weather...         being happy and enjoy what you do every day of your life         Being happy                     No worries about your present or future.                                                           Feel happy with a nice job kind community and lovely people.   Living in a country where people is more likely to help each other.\nWith this would be more than enough to have a better life for all of us.               Enjoyment learning and time to do things. To be halthy and useful in society                   Happiness in the way of Life Satisfaction options to develop a career. Education in all fields culture. Safety and healthy environment. So     feeling fullfilled     Decent weather :) Happiness                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
EST, Безопасная жизнь с хорошей работой и большим доходом развитой медициной и образованием. Безусловно важна экология и жилищные условия.   Social financial and community safety to be able to have sustainable income to give balanced life to kids             Better life means living in an area where you have all the means necessisary to maintain a healthy and happy life          Better life to me is when I am financially secured.     satisfaction  balance opportunities and fairness (especially when it comes to salary) High quality of life educated decision making and leadership. Better now.       Not having to worry about my future job housing and education.    satisfaction          Healthy environment and possibilities for self realization        My life has the potential to get better (I have hope in a future)             health It is a wonderful tool.                       perspective in life engaged communities and open society and of course good heath and loving family.                                   Clean environment good health progress of science and technology economic welfare.   #test\n                 equality among human kind and more just treatment of animals and environment in general. In the sense of sustainable and careful using of th             Better life to me means working relatinoships and economical stability. the job i can utilize my potential and piece in the world                                                                                                            
ETH,  bananen  The world is might be full of complications but we should look deep and beyond something that makes us happy. Life is always fair  a lot of money  peace of mind Having religion and family housing having good standard education and food secure and having security  Peace of mind mehr stripclubs   Work-life balance                 
EU,   Happiness     More time   Ultimate socioeconomic index.    happiness     The ability to do a job I love while living in a positive environment that cares for the planet and people of all backgrounds.   No stress warm climate with good education      Have a job travel.     Love security and money   Happier healthier life Liberty and environnement                               Being aware and self responsible.\nIntegration of people animals flowers and natural resources in a balanced way of life.\nno burn out depr                        
